ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,TotalIncome,EMI,BalanceIncome,ApplicantIncome_Log,CoapplicantIncome_Log,LoanAmount_Log,TotalIncome_Log,EMI_Log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Credit_History_0.0,Credit_History_1.0,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
0.07299082285068836,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,-0.18218375972648307,-0.23130482669294317,-0.18217071579296074,0.5161862659637967,-1.1077829767083145,-0.012803201343461017,0.008425825191001515,-0.2748387690787142,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
-0.13441195378345122,-0.03873154846446157,-0.21124124943736647,0.2732312961117544,-0.144684160081343,-0.23130482669294317,-0.14467003306921253,0.13780585237723655,0.7821575712485496,-0.012803201343461017,0.08285991649734786,-0.2748387690787142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
-0.3937473372051281,-0.5544873301529852,-0.9489964681145835,0.2732312961117544,-0.6236563191851775,-0.5685207425329879,-0.6236293382270313,-0.5194793670731671,-1.1077829767083145,-1.3486627152890505,-1.2172986730963478,-0.9414637687181682,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
-0.4620624697931504,0.2519796016915365,-0.3064354712021687,0.2732312961117544,-0.32288473690742187,-0.27481655776907804,-0.3228723131675821,-0.75160478236161,0.8975263856994306,-0.14335063876429482,-0.3013061075073324,-0.3559335987420099,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.09772843680942066,-0.5544873301529852,-0.05655063906956289,0.2732312961117544,-0.15878524920410228,-0.16059826369422417,-0.15877712529723587,0.5557271417764572,-1.1077829767083145,0.1829809757655036,0.05522299468401092,-0.14585331900714535,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0022183113925933404,0.8805997122641535,1.4427583537260718,0.2732312961117544,0.40107447607643937,0.5247115007548987,0.40104453355379266,0.39715784871846554,1.0462933560788554,1.4781401899444353,0.9206616235116626,0.9547890302849271,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
-0.5030187842943628,-0.03599544352181688,-0.6039174142171756,0.2732312961117544,-0.49209780638053324,-0.4107907173819992,-0.49207950870582584,-0.9094846729340591,0.7835228975392053,-0.6152864248387256,-0.7598251647902352,-0.618355799499025,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
-0.38784962791695354,0.30191351689480206,0.1457370821806418,0.2732312961117544,-0.23006547993453383,-0.06813583515743776,-0.23006673239846415,-0.5009775079479815,0.9130325417265339,0.41355740303033994,-0.09122417882296666,0.017859875146703487,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-0.22893912765224944,-0.03257531234351103,0.26472985938664456,0.2732312961117544,-0.23130513612115003,-0.013746171312269262,-0.23131072887541118,-0.07092527888117638,0.7852194656209255,0.537931757097833,-0.09387731582271075,0.11167010401712162,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.2184570268205968,3.196712546212882,2.4184991268152944,0.2732312961117544,2.6008443792268876,0.9707067442852803,2.6008426745626907,1.7361522651824677,1.2943629793105622,2.0224720730497836,2.5859770119191405,1.5577959391674028,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
